product_name,category,actual_price,rating,about_product
Apple iPhone 14,Electronics,999,4.7,Latest Apple smartphone with A15 Bionic chip and advanced camera system.
Samsung Galaxy S23,Electronics,899,4.6,High performance Android smartphone with powerful processor and AMOLED display.
Nike Air Max Shoes,Fashion,120,4.5,Comfortable and stylish running shoes designed for everyday wear.
Sony WH-1000XM5 Headphones,Electronics,350,4.8,Industry leading noise cancelling wireless headphones with superior sound quality.
Dell XPS 13 Laptop,Computers,1200,4.7,Ultra thin laptop with powerful performance and premium design.
Canon EOS M50 Camera,Electronics,650,4.6,Mirrorless camera ideal for photography and vlogging with 4K video support.
Adidas Running Shoes,Fashion,110,4.4,Lightweight running shoes designed for comfort and durability.
Apple MacBook Air M2,Computers,1299,4.8,Powerful and efficient laptop powered by Apple M2 chip with long battery life.
Logitech Wireless Mouse,Accessories,40,4.5,Ergonomic wireless mouse with precise tracking and long battery life.
JBL Bluetooth Speaker,Electronics,90,4.6,Portable Bluetooth speaker with deep bass and long lasting battery.
